owned_id,owner_id,date
Q1939338,Q495026,2002-01-01T00:00:00Z
Q55740815,Q85355,2016-04-14T00:00:00Z
Q123058749,Q4004687,2017-01-01T00:00:00Z
Q4044531,Q746413,2001-01-01T00:00:00Z
Q3752382,Q85355,2016-01-01T00:00:00Z
Q5058164,Q746413,1999-04-01T00:00:00Z
Q4892016,Q746413,2017-08-02T00:00:00Z
Q697619,Q45568,
Q97233867,Q1327429,
Q749034,Q207770,
Q1154847,Q269792,
Q1305980,Q85355,
Q3689968,Q1129774,
Q119942453,Q85355,
Q305404,Q1027874,
Q703322,Q15085475,
Q1275336,Q651222,
Q1619253,Q1479654,
Q806154,Q27331643,
Q2213203,Q565594,
Q2571518,Q746413,
Q3752331,Q85355,
Q3752382,Q85355,
Q3966521,Q85355,
Q4892016,Q746413,
Q52667636,Q746413,
Q11878398,Q45568,2017-01-01T00:00:00Z
Q1476162,Q1343118,2020-01-01T00:00:00Z
Q109686373,Q144617,2020-01-01T00:00:00Z
Q3982752,Q4015982,2007-01-01T00:00:00Z
Q48800487,Q28119223,2016-01-01T00:00:00Z
Q220189,Q45568,
Q1554656,Q19616,
Q3547885,Q45568,
Q11878398,Q45568,
Q3661909,Q1343118,
Q7238870,Q1343118,
Q12778981,Q1343118,
Q12785447,Q1343118,
Q24589952,Q1048204,
Q119938247,Q144617,
Q1120617,Q144617,
Q2079243,Q144617,
Q3699069,Q144617,
Q3804477,Q144617,
Q3909455,Q495026,
Q3982795,Q144617,
Q3982793,Q144617,
Q3982815,Q144617,
Q3855753,Q24589952,
Q56045740,Q635484,
Q726572,Q3833050,2022-01-01T00:00:00Z
Q650467,Q28119223,2016-01-01T00:00:00Z
Q3880025,Q144617,2016-01-01T00:00:00Z
Q3787735,Q28119223,2016-01-01T00:00:00Z
Q48976578,Q746413,2022-06-01T00:00:00Z
Q95951504,Q144617,
Q107214638,Q144617,
Q108784708,Q144617,
Q108784708,Q499342,
Q113406502,Q726572,
Q3982795,Q3982793,
Q16638812,Q670482,
Q20756653,Q144617,
Q55401011,Q4015982,
Q24939514,Q1048204,2017-01-01T00:00:00Z
Q24939514,Q3747273,2022-01-01T00:00:00Z
Q3831673,Q16566756,2013-01-01T00:00:00Z
Q3719346,Q85355,
Q108892615,Q3736515,
Q24589952,Q3736515,
Q95676214,Q279978,
Q96240525,Q565594,
Q286650,Q83823,
Q583247,Q1048204,
Q683102,Q269792,
Q1324935,Q286650,
Q104218310,Q45568,
Q847141,Q286650,2016-09-01T00:00:00Z
Q3633835,Q1343118,2007-01-01T00:00:00Z
Q3633712,Q1417245,
Q15918506,Q16599354,
Q21272314,Q1878364,
Q115480852,Q1027874,
Q123900995,Q24589952,
Q642616,Q16566756,
Q5433964,Q269792,
Q3836399,Q3876396,
Q100166679,Q21189584,
Q2231148,Q1878364,
Q12054325,Q817139,
Q28056374,Q1027874,
Q3304113,Q3777384,
Q3304113,Q3928114,
Q3980959,Q3777384,
Q3980959,Q3928114,
Q56777493,Q85355,
Q56777493,Q85355,2016-01-01T00:00:00Z
Q3991788,Q113406502,
Q101114860,Q28119223,
Q30097845,Q144617,
Q30097845,Q144617,2019-01-01T00:00:00Z
Q929722,Q1878364,
Q3497483,Q635484,
Q2967663,Q193136,
Q5963484,Q3777384,
Q140381,Q45568,
Q3943518,Q495026,
Q115184176,Q144617,
Q2245880,Q19616,
Q2558766,Q19616,
Q3929503,Q19616,
Q552230,Q193136,
Q113502386,Q1355904,2018-01-01T00:00:00Z
Q3696341,Q495026,
Q30889878,Q1343118,2016-01-01T00:00:00Z
Q125875,Q19616,
Q3529972,Q19616,
Q3929470,Q19616,
Q645742,Q3777384,
Q3529972,Q144617,
Q318616,Q670482,
Q1419041,Q786790,
Q59165,Q3777384,
Q161906,Q1878364,
Q324171,Q324782,
Q368151,Q1417245,
Q368151,Q3777384,
Q625048,Q1477785,
Q631220,Q1207494,
Q653941,Q1878364,
Q653941,Q1878364,1999-01-01T00:00:00Z
Q662824,Q910379,
Q673267,Q144617,
Q791069,Q910379,
Q877571,Q1658959,
Q918206,Q651222,
Q918208,Q2037048,
Q936563,Q842108,
Q950042,Q1548951,
Q956756,Q910379,
Q1070820,Q144617,
Q1208130,Q588001,
Q1414836,Q2042514,
Q1505331,Q1658959,
Q1739094,Q1207494,
Q1798270,Q1658959,
Q2313845,Q1878364,
Q258131,Q19616,
Q338690,Q19616,
Q2638120,Q1417245,
Q2638120,Q3777384,
Q643447,Q19616,
Q738394,Q19616,
Q914349,Q19616,
Q2786962,Q635963,
Q1150670,Q19616,
Q1569327,Q19616,
Q3979545,Q3777384,
Q3071105,Q762787,
Q3072675,Q1048204,2012-01-01T00:00:00Z
Q3126763,Q670482,
Q3146926,Q83823,
Q18472511,Q19616,
Q3640469,Q782064,
Q3641645,Q3777384,
Q3641645,Q3928114,
Q3648915,Q144617,
Q3689971,Q1129774,
Q3689979,Q1129774,
Q3689977,Q1129774,
Q3725397,Q565594,
Q3736515,Q45568,
Q3736515,Q1048204,
Q3736515,Q1343118,
Q3725215,Q651222,
Q3725218,Q651222,
Q3725216,Q651222,
Q3747273,Q1048204,
Q3777384,Q1417245,
Q3788748,Q646807,
Q3878999,Q1129774,
Q3906210,Q703322,
Q3925346,Q368151,
Q3925346,Q3777384,
Q3928114,Q368151,
Q3928114,Q3777384,
Q3909457,Q495026,
Q3909456,Q3909457,
Q3961046,Q1048204,
Q3995933,Q739503,
Q3991966,Q144617,
Q3991966,Q3777384,
Q3982792,Q18288262,2019-01-01T00:00:00Z
Q4004707,Q1129774,
Q4004708,Q1129774,
Q5161698,Q6420723,
Q5376815,Q651222,
Q6090691,Q3777384,
Q6422005,Q1479654,2019-01-01T00:00:00Z
Q6523209,Q1878364,
Q7087746,Q1878364,
Q7444725,Q3323911,
Q7696844,Q662824,
Q8165619,Q113406502,
Q10852472,Q1327429,
Q12059018,Q726572,
Q15965705,Q3689979,
Q16839814,Q3126763,
Q16989244,Q1479654,2021-12-01T00:00:00Z
Q17191964,Q1207494,
Q17633243,Q113406502,
Q18288262,Q3777384,
Q21189584,Q1129774,
Q21207445,Q3777372,
Q22131845,Q786790,
Q24910860,Q1048204,
Q28026003,Q912872,
Q28196057,Q662824,
Q28196057,Q910379,
Q30285473,Q910379,
Q30880629,Q3777384,
Q30880629,Q3928114,
Q32066838,Q3777384,
Q32066838,Q3928114,
Q45117441,Q3323911,2007-01-01T00:00:00Z
Q50557071,Q543750,
Q50977065,Q543750,
Q50977065,Q543750,2015-01-01T00:00:00Z
Q50843317,Q543750,
Q54153229,Q543750,
Q95689065,Q1027874,2015-01-01T00:00:00Z
Q106775732,Q3777384,
Q108909041,Q746413,2013-01-01T00:00:00Z
Q109918757,Q144617,
Q109918757,Q673267,
Q111450331,Q111450281,
Q111530542,Q111518952,
Q112961342,Q144617,
Q115351485,Q495026,
Q115309463,Q495026,
Q115309531,Q495026,
Q115309531,Q3943518,
Q115352176,Q495026,
Q115358425,Q495026,
Q116713759,Q116714992,
Q117337487,Q96240525,
Q117382148,Q3777384,
Q117382148,Q3925346,
Q124005822,Q842108,
